Year,Month,Time,Rain (mm/day),Discharge (mm/day),Evap (mm/day)
1967,1,Jan-67,40.420001,29.681,9.45
1967,2,Feb-67,52.489999,33.452,23.076
1967,3,Mar-67,37.93,14.979,64.794
1967,4,Apr-67,31.34,4.286,61.802
1967,5,May-67,121.910001,31.93,66.329999
1967,6,Jun-67,14.5,5.179,93.586001
1967,7,Jul-67,27.39,0.701,107.228001
1967,8,Aug-67,82.9,1.027,72.885999
1967,9,Sep-67,49.16,0.397,50.442
1967,10,Oct-67,78.879999,5.492,41.886
1967,11,Nov-67,67.04,36.368,9.726
1967,12,Dec-67,47.549999,22.049,8.758
1968,1,Jan-68,37.12,39.499,11.148
1968,2,Feb-68,33.48,28.82,14.582
1968,3,Mar-68,26.63,5.28,46.144
1968,4,Apr-68,50.800001,3.141,78.657999
1968,5,May-68,65.790011,26.734,66.756
1968,6,Jun-68,57.630001,1.627,86.076001
1968,7,Jul-68,91.770001,12.219,66.938001
1968,8,Aug-68,49.82,1.371,56.843999
1968,9,Sep-68,81.419999,12.167,51.237999
1968,10,Oct-68,60.79,25.423,24.734
1968,11,Nov-68,75.970001,47.066,15.804
1968,12,Dec-68,64.7,21.742,9.052
1969,1,Jan-69,63.85,105.019998,7.248
1969,2,Feb-69,60.070002,36.622001,9.9
1969,3,Mar-69,67.31,49.368,25.616
1969,4,Apr-69,90.379999,49.011999,51.484001
1969,5,May-69,53.400001,21.535,62.140001
1969,6,Jun-69,72.11,17.896999,109.270002
1969,7,Jul-69,79.93999,3.87,109.243998
1969,8,Aug-69,15.5,1.098,65.602
1969,9,Sep-69,54.16,2.11,46.448
1969,10,Oct-69,10.87,0.744,30.046
1969,11,Nov-69,125.680002,37.943999,13.76
1969,12,Dec-69,79.220001,88.983998,6.258
1970,1,Jan-70,67.280001,63.192001,5.676
1970,2,Feb-70,43.69,34.398,22.626
1970,3,Mar-70,33.479999,9.53,35.494
1970,4,Apr-70,75.24,27.291001,57.156
1970,5,May-70,12.94,4.079,80.874
1970,6,Jun-70,36.24,1.067,119.762
1970,7,Jul-70,102.22,1.74,79.320002
1970,8,Aug-70,38.45,0.535,76.650001
1970,9,Sep-70,24.28,0.081,58.911999
1970,10,Oct-70,41.969999,0.194,34.704
1970,11,Nov-70,115.130001,19.935,15.746
1970,12,Dec-70,62.31,40.419,11.044
